"ID_relationship";"source_concept";"target_concept"
634;"Social & cultural & economic mountain range valuation";"Landscape & Tourism attraction"
635;"Pines planting";"Native forest recruitment & regeneration"
636;"Pines planting";"Fires propagation"
637;"Pines planting";"Soil protection against erosion"
638;"Pines planting";"Employment"
639;"Herbivory";"Native forest recruitment & regeneration"
640;"Herbivory";"Biodiversity"
641;"Herbivory";"Structural diversity"
642;"Herbivory";"Functional diversity"
643;"Plantation age";"Soil protection against erosion"
644;"Plantation age";"Soil formation"
645;"Hydraulic infrastructures";"Soil protection against erosion"
646;"Decay";"Stand density"
647;"Decay";"Main species substitution"
648;"Resilience";"Stand stability"
649;"Pests & diseases expansion";"Pests & diseases incidence"
650;"Promote natural vegetation";"Economic benefit"
651;"Promote natural vegetation";"Biodiversity"
652;"Promote natural vegetation";"Ecosystem services"
